"Site","area_sampled","num","ave_tt","ave_hw","ave_sf","ave_rm","total_ave_sg","fSite"
23,3,0,0.1,26,0,2.1,28.2,"23"
24,3,0,0,20.5,0,0,20.5,"24"
25,3,0,1.1,21,0,0,22.1,"25"
26,3,1,1.1,20.5,0,0,21.6,"26"
27,3,1,41,16,0,0,57,"27"
28,3,0,1.7,34,0,0,35.7,"28"
29,3,2,18.1,15.5,0,0,33.6,"29"
41,3,0,16.5,0.5,0,0,17,"41"
42,3,0,6.2,0,0,0,6.2,"42"
43,3,0,15.7,3.6,0,0,19.3,"43"
44,3,1,5.6,40.5,0,0,46.1,"44"
45,3,1,23.5,0,0,0,23.5,"45"
46,3,0,2.5,8.6,0,0,11.1,"46"
47,3,0,33.5,0,0,0,33.5,"47"
31,3,0,0.1,14.6,0,0,14.7,"31"
32,3,0,0,30,0,0,30,"32"
33,3,0,17.5,21,0,0,38.5,"33"
34,3,0,13.9,16,0,0,29.9,"34"
35,3,0,0,21.5,0,0,21.5,"35"
36,3,0,0.5,22,0,0,22.5,"36"
37,3,0,0.1,26,0,0,26.1,"37"
38,3,0,0,18.1,0,0,18.1,"38"
39,3,0,0.1,10.2,0,0,10.3,"39"
40,3,2,27.5,0.625,0,0,28.125,"40"
19,3,0,0,44.5,0,0,44.5,"19"
20,3,0,0,60,0,0,60,"20"
22,3,0,0,53.5,0,0,53.5,"22"
23,3,0,0,52.5,0,0,52.5,"23"
24,3,0,1.5,45,0,0,46.5,"24"
25,3,1,0,29.5,0,2.5,32,"25"
26,3,0,0,28,0,0,28,"26"
27,3,0,30,16,0,0,46,"27"
29,3,0,12.1,16.5,0,0,28.6,"29"
10,3,3,15,0.7,0,0,15.7,"10"
11,3,0,18,0.5,0,0,18.5,"11"
12,3,0,0,15.7,0,0,15.7,"12"
13,3,1,0.2,0.6,0,0,0.8,"13"
14,3,0,0.1,0.1,0,0,0.2,"14"
15,3,0,11.5,2.6,0,0,14.1,"15"
16,3,0,7.1,0,0,0,7.1,"16"
17,3,2,28.5,0.1,0,0,28.6,"17"
9,3,0,6,0,0,0,6,"9"
1,3,0,4.1,17.6,0,0,21.7,"1"
2,3,0,0,16,0,0,16,"2"
3,3,0,0.2,44,0,0,44.2,"3"
4,3,0,0,16.5,0,0,16.5,"4"
5,3,0,0,20.1,0,0,20.1,"5"
6,3,0,0,28.5,0,0,28.5,"6"
7,3,1,12,23.5,0,0,35.5,"7"
8,3,0,6.1,3,0,0,9.1,"8"
41,3,0,41,1.5,0,0,42.5,"41"
42,3,0,6.5,0.5,0,0,7,"42"
47,3,1,35,0,0,0,35,"47"
38,3,0,0,8.5,0,0,8.5,"38"
39,3,0,1.1,16.6,0,0,17.7,"39"
40,3,3,24.5,4.2,0,0,28.7,"40"
43,3,1,7.5,0,0,0,7.5,"43"
44,3,3,15,6.6,0,0,21.6,"44"
45,3,0,3.7,2,0,0,5.7,"45"
46,3,0,9.5,0,0,0,9.5,"46"
28,3,0,11.5,24.5,0,0,36,"28"
29,3,0,3.5,13.5,0,0,17,"29"
30,3,0,25.5,7,0,0,32.5,"30"
31,3,0,0.5,3.7,0,0,4.2,"31"
32,3,0,0,23.5,0,0,23.5,"32"
33,3,0,6.5,30.5,0,0,37,"33"
34,3,0,3.5,10.5,0,0,14,"34"
35,3,0,0,11.6,0,0,11.6,"35"
36,3,0,1.5,14,0,0,15.5,"36"
37,3,0,13.5,25.5,0,0,39,"37"
18,3,4,0,41.5,0,0,41.5,"18"
19,3,1,0,30.5,0,0,30.5,"19"
20,3,0,0,17.5,0,0,17.5,"20"
21,3,0,0,14,0,0,14,"21"
22,3,0,0,11,0,0,11,"22"
23,3,0,1.6,21.5,0,0,23.1,"23"
24,3,0,0.1,27,0,0,27.1,"24"
25,3,0,1.5,23.5,0,0,25,"25"
26,3,0,16,19.5,0,0,35.5,"26"
27,3,0,13.5,15,0,0,28.5,"27"
10,3,0,34,1,0,0,35,"10"
11,3,0,16,5,0,0,21,"11"
12,3,0,0,14.5,0,0,14.5,"12"
13,3,0,11.6,0,0,0,11.6,"13"
14,3,0,12,3,0,0,15,"14"
15,3,0,10.6,0,0,0,10.6,"15"
